mentions_count,person,tone_avg,tone_std,source_index
213,Theresa May,-2.856,0.498,414
150,Donald Trump,-3.619,0.553,414
101,Jamal Khashoggi,-3.731,0.310,414
92,Los Angeles,-0.481,2.442,125
86,Donald Trump,-1.799,2.525,135
77,Barbara Bush,-0.524,0.268,152
76,Barbara Bush,-0.514,0.364,155
60,Bill Clinton,-0.363,0.159,157
59,Barbara Bush,-0.398,0.206,157
55,Donald Trump,-1.846,2.712,185
53,Donald Trump,-1.552,2.415,543
44,George Hw Bush,-0.384,0.120,157
41,Donald Trump,-1.643,1.740,118
40,Barbara Bush,-0.304,0.299,154
40,Ronald Reagan,-0.543,0.379,155
40,Ronald Reagan,-0.552,0.302,152
39,Donald Trump,-0.391,0.662,157
36,Bill Clinton,-0.437,0.421,155
35,Bill Clinton,-3.225,1.148,414
35,Lopez Obrador,0.269,0.826,423
34,Donald Trump,-0.142,0.454,155
33,Lopez Obrador,-4.002,0.791,598
31,Bill Clinton,-0.533,0.316,152
31,Bill Clinton,-0.339,2.409,135
31,Kid Rock,-0.244,1.326,135
29,Lopez Obrador,-1.286,1.313,125
28,Ronald Reagan,-0.526,0.439,154
27,Donald Trump,-1.747,2.028,148
27,George Bush,-0.153,1.672,127
25,Lopez Obrador,0.307,0.295,95
25,Ronald Reagan,-0.401,0.226,157
25,Vladimir Putin,-2.223,2.221,135
24,Donald Trump,-0.206,1.702,97
24,Donald Trump,-2.661,2.233,598
24,Donald Trump,-1.111,2.533,95
24,Theresa May,-0.274,1.808,406
23,Barbara Bush,0.169,2.042,135
23,Bill Clinton,-0.195,2.228,185
23,Donald Trump,-2.418,2.670,154
23,George Hw Bush,-0.456,0.666,406
22,Donald Trump,-0.210,2.529,464
21,Donald Trump,-4.130,1.965,521
20,Barbara Bush,-0.824,0.661,414
20,Donald Trump,-1.788,1.795,140
20,Donald Trump,-0.287,1.047,152
20,Donald Trump,-2.015,3.366,101
20,George Hw Bush,-0.543,0.384,155
20,George Hw Bush,-0.552,0.306,152
20,Lopez Obrador,-0.684,0.000,102
20,Ronald Reagan,-1.161,2.121,135
20,Theresa May,-2.360,2.086,148
20,Vladimir Putin,-1.771,0.607,154
20,Vladimir Putin,-1.337,0.269,167
19,Bill Clinton,-0.226,0.311,154
19,Saddam Hussein,-1.897,2.229,135
18,Donald Trump,-2.953,2.768,182
18,George Bush,-0.377,0.000,157
18,George Hw Bush,-0.650,0.458,154
18,Los Angeles,-0.284,1.531,98
18,Los Angeles,-0.397,1.352,103
18,Vladimir Putin,-2.719,2.863,543
17,Barack Obama,-0.504,0.275,152
17,George Bush,-0.641,0.035,414
17,Lopez Obrador,0.295,0.102,185
17,Lopez Obrador,0.286,0.100,135
16,Barack Obama,-0.618,2.569,135
16,Barbara Bush,-0.171,1.717,185
16,Barbara Bush,-0.513,0.000,167
16,Bill Clinton,-0.745,2.285,118
16,Donald Trump,1.219,3.295,454
16,Jeb Bush,-1.584,2.824,135
15,Barack Obama,-0.367,0.193,157
15,Donald Trump,-0.469,3.110,460
15,Donald Trump,-0.666,3.361,94
15,Donald Trump,-4.440,2.164,127
15,Donald Trump,-1.871,3.461,436
15,Donald Trump,-1.708,2.175,138
15,George Bush,-1.848,1.621,460
15,George Bush,-1.158,2.635,135
15,George Herbert Walker Bush,-0.870,2.817,135
15,Lopez Obrador,-1.501,0.000,126
14,Barack Obama,-0.448,0.399,155
14,Bill Clinton,0.496,2.709,94
14,Donald Trump,-0.833,3.017,488
14,Donald Trump,-4.424,3.557,83
14,George Hw Bush,-2.129,1.535,414
14,George Hw Bush,2.669,3.081,148
14,Los Angeles,-2.080,3.068,185
14,Vladimir Putin,-2.705,2.107,118
13,Angela Merkel,-0.840,1.145,135
13,Bill Clinton,-1.837,2.059,127
13,Donald Trump,-0.421,1.092,406
13,Donald Trump,0.262,2.044,538
13,George Herbert Walker Bush,-0.389,0.161,157
13,George Herbert Walker Bush,-0.783,0.438,154
13,George Hw Bush,-2.352,2.399,339
13,Jeb Bush,-0.389,0.161,157
13,Ronald Reagan,-1.199,2.234,118
13,Ronald Reagan,-0.564,1.940,185
13,Saddam Hussein,-0.389,0.161,157
13,Theresa May,-4.853,2.556,422
13,Vladimir Putin,-0.163,3.031,464
12,Donald Trump,-1.091,2.430,99
12,Donald Trump,-2.073,2.157,562
12,Donald Trump,0.059,3.224,477
12,George Bush,-4.110,0.152,269
12,George Bush,-1.365,0.292,133
12,George Bush,-0.066,2.008,138
12,George Hw Bush,-1.171,0.159,598
12,Jamal Khashoggi,-1.882,1.836,543
12,Jeb Bush,-1.481,0.000,126
