mentions_count,tone_avg,tone_std,source_index,person_index
37,-2.658,0.383,1,0
24,-3.729,0.007,5,0
24,-2.969,0.108,3,0
9,-5.168,0.228,5,1
9,-4.999,0.435,3,1
8,-0.455,0.955,12,5
6,-4.165,0.081,1,1
6,-4.144,0.019,0,1
5,-6.154,0.000,6,0
5,-3.537,0.346,5,6
5,-2.786,0.534,3,6
4,-2.134,0.924,5,5
4,2.667,0.000,0,5
4,-1.061,0.908,3,5
3,-6.561,0.352,6,1
2,-5.016,0.008,5,16
2,-3.904,1.299,9,0
2,-3.729,0.010,5,2
2,-2.985,0.000,9,2
2,-4.474,0.000,10,2
2,-4.162,0.000,7,2
2,-2.969,0.150,3,2
2,-2.201,0.002,5,22
2,-1.187,0.003,0,22
2,-1.653,0.001,3,22
2,-5.016,0.008,5,11
2,0.000,0.000,8,5
2,-2.567,0.000,1,6
1,-5.315,,14,21
1,-6.783,,1,20
1,-1.550,,9,20
1,-7.551,,0,20
1,-8.070,,3,20
1,-4.091,,1,16
1,-6.764,,6,16
1,-4.457,,3,16
1,-1.136,,10,0
1,-1.407,,1,22
1,-4.091,,1,11
1,-6.764,,6,11
1,-4.457,,3,11
1,-2.985,,9,3
1,-6.009,,12,3
1,-1.136,,10,5
1,3.390,,2,5
1,-2.985,,9,6
1,-1.278,,11,6
