mentions_count,tone_avg,tone_std,source_index,person_index
85,-4.233,2.709,3,1
35,0.641,0.000,0,4
33,-2.669,2.606,10,5
32,-4.313,2.328,5,6
28,-2.529,1.395,10,0
28,-2.502,1.334,7,0
19,-3.550,2.574,7,3
18,-2.937,2.978,10,3
14,1.337,0.349,3,17
14,-0.507,0.066,5,16
12,-4.113,2.383,10,2
12,-4.049,2.353,7,2
12,-3.972,1.740,5,8
12,-5.372,0.147,5,0
12,-6.828,0.352,3,0
12,-2.698,0.002,7,20
10,-5.122,1.131,5,2
10,-5.201,1.068,3,2
10,-5.639,2.015,3,8
9,0.053,0.881,7,26
9,-0.327,0.192,7,13
8,-8.595,0.321,0,9
8,0.433,0.000,5,10
8,-0.143,0.000,3,10
8,-1.839,1.561,10,19
7,-1.059,1.430,12,12
7,-0.564,1.821,10,13
6,-3.001,0.097,7,22
6,-2.616,0.323,5,7
6,-2.199,0.352,3,7
6,-5.957,1.013,3,15
6,-0.545,1.815,10,27
6,-7.302,0.164,5,9
6,-7.733,0.222,3,9
6,-6.116,0.716,5,18
6,-6.032,0.510,3,18
6,-3.449,2.558,5,21
6,-3.105,3.202,3,21
6,-3.211,0.056,5,11
6,-4.143,0.056,0,11
6,-3.411,0.015,3,11
6,-2.829,0.000,1,0
5,-1.774,0.000,0,7
5,-2.054,1.732,10,23
5,-2.048,1.657,7,23
5,-1.101,0.485,7,27
5,-1.823,0.000,5,12
5,-3.571,0.000,0,12
5,-2.054,1.732,10,28
5,-2.048,1.657,7,28
5,0.840,0.000,0,10
5,-1.533,0.000,5,14
5,-1.865,0.000,0,14
5,-1.506,0.000,3,14
5,-2.902,2.241,7,19
4,-3.344,0.142,10,22
4,-1.533,0.000,8,7
4,-6.129,0.042,5,15
4,-7.734,0.048,0,15
4,-0.960,0.000,8,0
4,-5.414,0.009,0,0
4,-9.730,0.000,2,0
4,-1.325,0.003,5,24
4,-1.190,0.000,0,24
4,-1.688,0.003,3,24
4,-3.588,0.027,10,25
3,-6.687,0.000,10,29
3,-6.607,0.000,7,29
3,0.227,0.000,10,26
3,-3.642,0.116,7,25
2,-0.478,0.000,11,7
2,-6.593,0.000,1,29
2,-7.453,0.000,12,29
2,-7.387,0.000,6,9
2,-3.685,0.000,14,0
1,-3.797,,9,22
1,-3.685,,14,22
1,-7.285,,8,29
1,-7.947,,6,15
1,-2.829,,1,23
1,-0.498,,11,23
1,-2.733,,0,2
1,-1.771,,9,27
1,-6.586,,1,18
1,-2.829,,1,28
1,-3.797,,9,0
1,-0.498,,11,0
1,-5.672,,5,25
1,-3.322,,9,25
1,-3.797,,8,25
1,-3.380,,11,25
1,-5.981,,3,25
