mentions_count,tone_avg,tone_std,source_index,person_index
41,-2.487,2.293,13,0
40,-1.772,1.869,2,0
26,-1.591,2.992,2,1
26,-3.380,3.538,13,9
24,-0.726,3.386,13,13
24,0.802,0.016,18,11
23,-2.166,1.630,13,14
22,-0.272,0.000,15,15
19,-2.296,1.999,1,0
18,-3.427,2.511,9,0
16,-5.887,0.888,2,7
15,0.296,1.850,6,23
15,-3.537,0.929,6,0
13,-1.143,1.990,17,0
12,-0.630,2.887,13,4
12,-2.040,1.113,13,19
12,-1.590,1.491,1,1
11,-1.813,1.858,2,4
11,-0.727,0.892,1,10
11,-2.381,1.152,13,2
11,-2.380,1.688,3,1
10,0.180,0.000,12,3
9,-2.061,1.122,13,10
9,-4.130,0.000,8,3
9,-0.965,0.000,11,3
9,-2.433,1.548,3,0
9,-2.887,0.561,1,27
9,-5.955,0.933,2,18
9,-2.427,1.098,13,21
8,-1.478,0.850,13,12
8,-0.032,1.566,13,17
8,-4.196,2.315,13,6
7,-2.397,0.987,9,3
7,-4.605,0.000,10,3
7,-1.998,0.000,2,26
7,-0.979,1.549,3,2
7,-4.220,2.346,9,1
7,-2.175,1.870,11,1
7,-7.424,0.000,8,7
7,-2.438,1.053,9,6
6,-2.458,0.000,7,26
6,-2.354,1.693,8,2
6,-2.517,0.685,2,2
6,-1.810,1.236,7,1
6,-0.825,0.887,13,1
6,-2.389,0.000,13,25
6,0.360,1.183,13,5
5,-0.351,1.958,8,0
5,2.706,1.016,16,22
5,0.636,0.000,3,17
5,0.288,0.647,1,5
4,0.744,0.735,18,0
4,-0.570,0.000,6,22
4,-2.726,1.105,9,2
4,-1.733,0.516,17,2
4,0.543,1.641,8,1
4,-3.306,2.180,10,1
4,-0.256,1.407,17,1
4,-3.977,0.000,18,25
4,-1.968,1.799,9,8
4,-1.899,0.501,8,8
4,-2.662,0.636,7,8
4,-2.786,1.098,2,8
4,-2.407,0.763,8,12
4,-0.105,0.000,11,12
4,-1.785,0.328,8,17
4,-7.055,0.000,6,18
4,-1.683,2.200,17,5
4,-2.582,1.574,1,16
4,-4.032,0.000,13,24
4,-2.988,2.544,2,6
3,-1.949,2.845,8,4
3,-3.394,0.784,2,10
3,-5.547,0.000,1,26
3,-0.626,4.603,12,0
3,2.443,1.381,2,22
3,2.548,0.209,16,2
3,0.036,3.921,12,2
3,-0.806,0.315,8,19
3,-3.623,0.555,6,1
3,-2.506,0.000,17,20
3,-2.228,0.000,12,20
3,-1.796,0.000,0,8
3,-1.028,0.973,13,8
3,-1.871,0.000,3,27
3,-2.049,0.230,2,12
3,-7.424,0.000,8,18
3,-5.217,0.000,3,18
3,-0.862,2.390,16,21
3,-2.449,1.979,2,21
3,0.789,1.729,16,5
3,0.140,1.949,7,5
3,-1.583,2.388,11,5
3,-3.945,1.730,8,16
3,-3.128,1.567,13,16
3,-2.506,0.000,17,24
2,-6.063,4.178,9,4
2,-0.805,2.292,7,4
2,0.000,0.000,17,4
2,-2.995,0.655,6,4
2,2.590,0.276,16,0
2,-3.971,4.105,10,0
2,-1.406,0.000,11,0
2,0.524,0.000,13,22
2,0.969,4.193,3,22
2,-0.938,0.662,11,2
2,-0.953,0.580,1,19
2,-7.317,0.000,14,25
2,-2.426,0.000,7,20
2,-4.032,0.000,13,20
2,-2.500,0.000,2,20
2,-3.361,2.296,10,8
2,-5.411,4.226,9,12
2,-2.772,0.687,2,17
2,-3.467,0.000,1,21
2,0.413,0.584,8,5
2,-0.291,0.568,3,5
2,-5.217,0.000,3,7
2,-7.055,0.000,6,7
2,-2.506,0.000,17,16
2,-2.157,0.007,11,16
2,-2.739,0.619,2,16
2,-2.157,0.007,11,24
2,-2.161,0.000,16,6
2,-0.200,1.458,7,6
2,-2.966,1.086,11,6
1,0.000,,7,23
1,-1.485,,10,23
1,-4.950,,1,4
1,-5.089,,3,4
1,-2.228,,12,4
1,-2.869,,3,10
1,-3.075,,6,10
1,-3.258,,2,3
1,-3.134,,5,0
1,-3.235,,9,22
1,1.657,,1,22
1,-4.384,,1,2
1,-2.426,,7,2
1,-3.977,,18,2
1,-5.600,,9,19
1,-1.993,,11,19
1,-3.191,,2,19
1,-7.463,,14,1
1,-1.170,,8,25
1,0.143,,7,25
1,-1.475,,17,25
1,-3.458,,6,25
1,-3.493,,9,20
1,-4.384,,1,20
1,-4.944,,8,20
1,-6.723,,10,20
1,-1.871,,3,20
1,-2.162,,11,20
1,-4.561,,6,20
1,-3.437,,1,8
1,-2.124,,3,8
1,-1.235,,6,8
1,-2.426,,7,27
1,-1.149,,10,27
1,-2.162,,11,27
1,-2.500,,2,27
1,-3.704,,1,12
1,0.636,,3,12
1,-2.532,,6,12
1,-2.423,,9,17
1,-0.105,,11,17
1,-6.866,,13,18
1,-0.139,,3,21
1,0.727,,9,5
1,0.657,,18,5
1,-3.176,,2,5
1,-6.866,,13,7
1,-3.493,,9,16
1,-2.426,,7,16
1,-3.977,,18,16
1,-6.723,,10,16
1,-2.228,,12,16
1,-4.561,,6,16
1,-3.493,,9,24
1,-4.384,,1,24
1,-4.944,,8,24
1,-2.426,,7,24
1,-6.723,,10,24
1,-2.228,,12,24
1,-4.561,,6,24
1,-2.500,,2,24
1,-1.575,,3,6
1,-4.898,,12,6
1,-1.161,,6,6
