mentions_count,name
28359,Donald Trump
28209,Nikolas Cruz
10455,Sigmar Gabriel
6632,Robert Mueller
6627,Hillary Clinton
6430,Jennifer Aniston
5324,Nicholas Cruz
4669,Justin Theroux
4501,Marjory Stoneman Douglas
4476,Stoneman Douglas
4379,Alyssa Alhadeff
3897,Simona Halep
3868,Vladimir Putin
3630,Aaron Feis
3572,Hannes Holmstein Gissurarson
3513,Ram Allah
3466,Barack Obama
3451,Mikaela Shiffrin
3192,Marco Rubio
2947,Angela Merkel
2890,Mitt Romney
2884,Cyril Ramaphosa
2827,Paul Ryan
2798,Christian Toro
2722,Marjory Stoneman
2711,Tayyip Erdogan
2667,Jacob Zuma
2567,Isaiah Samakuva
