mentions_count,name
80,Donald Trump
65,Bill Cosby
63,Mark Zuckerberg
47,Michael Cohen
41,François Hollande
41,Stormy Daniels
38,Andrea Constand
37,Le Matin
25,António Guterres
18,Matthias Miller
18,Saddam Hussein
18,Kim Jong
17,Mauro Poggia
17,Cambridge Analytica
16,Lech Kaczyński
15,Mireille Knoll
14,Erwin Sperisen
14,Luc Mlenchon
12,Edward Philippe
12,Nasser Zefzafi
12,Stephanie Clifford
11,Derwin Sperisen
10,Theresa May
10,Arnold Schwarzenegger
10,Mikhail Cohen
10,Benedict Sartorius
10,Caroline Zuercher
10,Donald Tusk
9,Stephen Ryan
9,Tammy Duckworth
