mentions_count,name
370,Donald Trump
250,Samantha Bee
200,Ivanka Trump
162,Kim Yong Chol
123,Roseanne Barr
91,Mike Pompeo
84,Barack Obama
82,Hillary Clinton
80,Dinesh Dsouza
66,Valerie Jarrett
60,Martha Stewart
51,Michael Cohen
49,Justin Trudeau
48,Mariano Rajoy
48,Rod Blagojevich
45,Robert Mueller
45,James Comey
39,LeBron James
39,Pedro Sanchez
39,Bill Clinton
39,Harvey Weinstein
37,Jared Kushner
35,Erik Prince
35,Jeff Sessions
34,Kim Jong
33,Paulo Guerrero
31,Antonio Villaraigosa
31,John McCain
