domain,name,region
allafrica.com,All Africa,Africa
news.bbc.co.uk,BBC News Africa,Africa
rfi.fr,Radio France Africa,Africa
irinnews.org,IRIN,Africa
pambazuka.org,Pambazuka News,Africa
thinkafricapress.com,Think Africa Press,Africa
elkhabar.com,El Khabar,Africa
north-africa.com,The North Africa Journal,Africa
actsa.org,Angola peace monitor,Africa
angolapress-angop.ao,Angola Press,Africa
beninembassyus.org,Benin embassy,Africa
mmegi.bw,Mmegi,Africa
weekly.ahram.org.eg,Al-ahram,Africa
cairolive.com,Cairolive,Africa
cairotimes.com,Cairo Times,Africa
egypttoday.com,Egypt Today,Africa
dehai.org,Dehai,Africa
addistribune.com,Addis Tribune,Africa
telecom.net.et,Ethiopia News Agency,Africa
ethiopianreview.homestead.com,Ethiopean Review,Africa
ethiopar.net,Parliamentary website,Africa
waltainfo.com,Walta Information centre,Africa
gambianet.com,Gambia Net,Africa
gambia.gm,Gambian government site,Africa
ghanareview.com,Ghana Review,Africa
ghanaian-chronicle.com,Ghanaian Chronicle,Africa
independent-gh.com,The Online Independent,Africa
statehousekenya.go.ke,Kenyan Government site,Africa
lesotho.gov.ls,Lesotho Government online,Africa
liberian-connection.com,The Liberian Connection,Africa
theperspective.org,The Perspective,Africa
libya-watanona.com,Libya Watanona,Africa
nationmalawi.com,The Malawi Nation,Africa
mbc.intnet.mu,Mauritius Broadcasting Corporation,Africa
mauritius-news.co.uk,Mauritius News,Africa
jarida.8m.com,Al Jarida Al Maghriba,Africa
map.ma,Maghreb Arabe Presse,Africa
sortmoz.com,AIM,Africa
grnnet.gov.na,Government site,Africa
economist.com.na,Namibia Economist,Africa
namibian.com.na,Namibian,Africa
aittv.com,African international television,Africa
nopa.net,Government site,Africa
newswatchngr.com,Newswatch,Africa
silverbirdgroup.com,Silverbird group,Africa
vanguardngr.com,Vanguard,Africa
ictr.org,International Criminal Tribunial for Rwanda,Africa
internews.org,Internews,Africa
banadir.com,Banadir,Africa
businessday.co.za,Business day,Africa
iafrica.com,IAfrica,Africa
int.iol.co.za,IOL,Africa
news24.com,News 24,Africa
sabc.co.za,South africa broadcasting company,Africa
sundaytimes.co.za,The Sunday Times,Africa
sudan.net,Sudan Net,Africa
gov.sz,Government site,Africa
times.co.sz,Times of Swaziland,Africa
theexpress.com,The Express Online,Africa
ippmedia.com,Ipp Media,Africa
parliament.go.tz,Parliamentary site,Africa
tunisiaonlinenews.com,Tunisia Online news,Africa
monitor.co.ug,Monitor online,Africa
newvision.co.ug,The new Vision Online,Africa
un.org,Minurso,Africa
wsahara.net,Western Sahara Online,Africa
btinternet.com,Western Sahara Update,Africa
elections.org.zm,Elections,Africa
daily-mail.co.zm,Zambia Daily Mail,Africa
zambezitimes.com,Times Online,Africa
herald.co.zw,The Herald,Africa
fingaz.co.zw,The Financial Gazette,Africa
theindependent.co.zw,The Independent,Africa
zbc.co.zw,Zimbabwe broadcasting association,Africa
zwnews.com,Zimbabwe News,Africa
buenosairesherald.com,Buenos Aires Herald,Americas
belize.gov.bz,Government Site,Americas
infobrazil.com,Info Brazil,Americas
internacional.radiobras.gov.br,Radiobras,Americas
estado.com.br,O Estado de S. Paulo,Americas
oglobo.globo.com,O Globo,Americas
ctv.ca,Canadian Television (CTV),Americas
cbc.ca,CBC,Americas
globalnews.ca,Global News,Americas
chch.com,"CHCH Hamilton, ON",Americas
calgaryherald.com,Calgary Herald,Americas
canoe.ca,Canoe/Sun Media,Americas
edmontonjournal.com,Edmonton Journal,Americas
theglobeandmail.com,The Globe and Mail,Americas
thechronicleherald.ca,Halifax Chronicle Herald,Americas
thehaltonherald.ca,Halton Herald,Americas
thehilltimes.ca,The Hill Times,Americas
thewhig.com,The Kingston Whig Standard,Americas
metronews.ca,Metro,Americas
montrealgazette.com,Montreal Gazette,Americas
nationalpost.com,National Post,Americas
nunatsiaq.com,Nunatsiaq News,Americas
canada.com,Ottawa Citizen,Americas
ottawasun.com,Ottawa Sun,Americas
leaderpost.com,Regina Leader-Post,Americas
thetelegram.com,St. John's Telegram,Americas
thestarphoenix.com,Saskatoon StarPhoenix,Americas
thestar.com,The Toronto Star,Americas
torontosun.com,Toronto Sun,Americas
canada.com,Vancouver Province,Americas
canada.com,The Vancouver Sun,Americas
timescolonist.com,Victoria Times Colonist,Americas
winnipegfreepress.com,Winnipeg Free Press,Americas
canada.gc.ca,Government site,Americas
caribbeannetnews.com,Caribbean net news,Americas
cananews.net,CANA News,Americas
amcostarica.com,AM Costa Rica,Americas
ticotimes.net,Tico Times,Americas
costaricanewssite.com,Costa Rica News,Americas
granma.cu,Granma,Americas
marrder.com,Honduras This Week,Americas
latinnews.com,Latin American Newsletters,Americas
mexiconews.com.mx,Mexico News,Americas
theaerogram.com,The Aerogram,Americas
armytimes.com,Army Times,Americas
cnn.com,Cable News Network (CNN),Americas
csmonitor.com,The Christian Science Monitor,Americas
democracynow.org,Democracy Now,Americas
news.ft.com,Financial Times,Americas
drudgereport.com,Drudge Report net news,Americas
newswiretoday.com,NewswireToday,Americas
knowledge.wharton.upenn.edu,Knowledge@Wharton,Americas
latimes.com,Los Angeles Times,Americas
npr.org,National Public Radio,Americas
nytimes.com,The New York Times,Americas
newstandardnews.net,The New Standard,Americas
newsday.com,Newsday,Americas
newsfactor.com,NewsFactor,Americas
newseum.org,Newseum,Americas
msnbc.com,MSNBC,Americas
rollcall.com,Roll Call,Americas
poynter.org,Romenesko,Americas
washingtonpost.com,The Washington Post,Americas
online.wsj.com,Wall Street Journal,Americas
washtimes.com,The Washington Times,Americas
usatoday.com,USA Today,Americas
wired.com,Wired News,Americas
abc.net.au,ABC,Oceania
news.com.au,News,Oceania
news.ninemsn.com.au,Ninemsn,Oceania
seven.com.au,Channel Seven,Oceania
ten.com.au,Channel Ten,Oceania
skynews.com.au,Sky News,Oceania
foxsports.com.au,Fox Sports,Oceania
afr.com,Financial Review,Oceania
theaustralian.com.au,The Australian,Oceania
newsstore.fairfax.com.au,Fairfax Archive,Oceania
crikey.com.au,Crikey,Oceania
smh.com.au,The Sydney Morning Herald,Oceania
dailytelegraph.com.au,Daily Telegraph,Oceania
theage.com.au,The Age,Oceania
heraldsun.com.au,Herald-Sun,Oceania
couriermail.com.au,Courier Mail,Oceania
brisbanetimes.com.au,Brisbane Times,Oceania
adelaidenow.com.au,The Advertiser / Sunday Mail,Oceania
au.news.yahoo.com,The West Australian,Oceania
perthnow.com.au,PerthNow / Sunday Times,Oceania
