GLOBALEVENTID,MentionSourceName,f0_
791081360,24.hu,1
791208833,24.kg,1
791164378,br.az,1
791206886,br.az,1
791207097,br.az,1
791207483,br.az,1
791115636,br.az,1
791206812,br.az,1
791207702,br.az,1
791206940,br.az,1
791112040,br.az,1
791207463,br.az,1
791206887,br.az,1
791207248,br.az,1
791112042,br.az,1
791207360,br.az,1
791206884,br.az,1
791207464,br.az,1
791206810,br.az,1
791207277,br.az,1
791207441,br.az,1
791207482,br.az,1
791207703,br.az,1
791207359,br.az,1
791171088,bt.no,1
791090684,bt.no,1
791210494,bt.no,1
791136810,bt.no,1
791176007,bt.no,1
791175262,bt.no,1
791214076,bt.se,1
791213316,bt.se,1
791210836,di.se,1
791213909,dn.pt,1
791210649,dn.pt,1
791213502,dn.pt,1
791207239,dn.pt,1
791213460,dn.pt,1
791206867,dn.pt,1
791206866,dn.pt,1
791088411,dn.se,1
791107331,dn.se,1
791210810,dn.se,1
791210089,dn.se,1
791177563,dn.se,1
791210045,dn.se,1
791184475,dn.se,1
791181037,dn.se,1
791206950,dp.ru,1
791206949,dp.ru,1
791085509,dp.ru,1
791148498,dp.ru,1
791093566,dp.ru,1
791206937,dp.ru,1
791207241,dp.ru,1
791207328,dp.ru,1
791207401,dv.is,1
791197187,fr.de,1
791086914,fr.de,1
791197180,fr.de,1
791081523,fr.de,1
791148206,gd.no,1
791088394,gd.no,1
791084220,gd.no,1
791081595,gd.no,1
791214076,gp.se,1
791213262,gp.se,1
791213588,gp.se,1
791214060,gp.se,1
791213316,gp.se,1
791207001,hd.se,1
791207529,hd.se,1
791137070,hs.fi,1
791207030,hs.fi,1
791125788,hs.fi,1
791213815,hs.fi,1
791081553,hs.fi,1
791213158,hs.fi,1
791084220,in.gr,1
791207244,in.gr,1
791187432,in.gr,1
694217721,in.gr,1
791207158,in.gr,1
791082114,in.gr,1
694230753,in.gr,1
791207490,in.gr,1
791187760,in.gr,1
791199840,in.gr,1
791100402,in.gr,1
791148686,in.gr,1
791200529,in.gr,1
791048119,in.gr,1
791188000,in.gr,1
791180723,in.gr,1
791095409,in.gr,1
791090847,in.gr,1
791207507,in.gr,1
791081830,in.gr,1
791156607,in.gr,1
791207276,in.gr,1
791148232,in.gr,1
791111855,in.gr,1
791090750,in.gr,1
791171863,in.gr,1
791206768,in.gr,1
791213606,iz.ru,1
791213974,iz.ru,1
791213122,iz.ru,1
791213123,iz.ru,1
791108595,iz.ru,1
791213975,iz.ru,1
791123718,iz.ru,1
791199990,jn.pt,1
791200101,jn.pt,1
791210849,kp.ua,1
791101452,kp.ua,1
791127829,la.lv,1
791213823,la.lv,1
791123736,la.lv,1
791213806,la.lv,1
791197550,la.lv,1
791169742,la.lv,1
791070686,la.lv,1
791190435,la.lv,1
791213037,la.lv,1
791145700,la.lv,1
791081523,la.lv,1
791172613,la.lv,1
791213816,la.lv,1
791145734,la.lv,1
791204633,la.lv,1
791212941,la.lv,1
791197551,la.lv,1
791204304,la.lv,1
791104672,mu.ee,1
791206947,ng.kz,1
791175065,pt.se,1
791083973,pt.se,1
791156770,pt.se,1
791210004,pt.se,1
791173215,pt.se,1
791173192,pt.se,1
791175883,pt.se,1
791175247,pt.se,1
791173499,pt.se,1
791175135,pt.se,1
791210670,rd.nl,1
791119329,rd.nl,1
791210217,rd.nl,1
791210228,rd.nl,1
791210613,rd.nl,1
791210216,rd.nl,1
791210227,rd.nl,1
791213304,rg.ru,1
791213271,rg.ru,1
791214110,rg.ru,1
791184324,rg.ru,1
791213269,rg.ru,1
791203936,rg.ru,1
791213623,rg.ru,1
791214000,rg.ru,1
791213476,rg.ru,1
791108766,rg.ru,1
791093162,rg.ru,1
791213827,rg.ru,1
791213412,sg.hu,1
791213812,sn.dk,1
791213354,sn.dk,1
791184519,sn.dk,1
791213802,sn.dk,1
791213039,sn.dk,1
791184901,sn.dk,1
791213803,sn.dk,1
791210573,ts.fi,1
791196875,ts.fi,1
791196992,ts.fi,1
791196879,ts.fi,1
791196874,ts.fi,1
791196909,ts.fi,1
791128101,ts.fi,1
791197656,ts.fi,1
791196991,ts.fi,1
791196878,ts.fi,1
791196916,ts.fi,1
791196877,ts.fi,1
791196974,ts.fi,1
791210198,ts.fi,1
791196876,ts.fi,1
791184120,tz.de,1
791203774,tz.de,1
791184016,tz.de,1
791203773,tz.de,1
791203782,tz.de,1
791203389,tz.de,1
