Source,Target,count
plovdiv24.bg,varna24.bg,1600
news.ruse24.bg,plovdiv24.bg,700
news.ruse24.bg,varna24.bg,560
980waav.com,wgowam.com,110
bigtalk1490.com,kvor.com,110
bigtalk1490.com,supertalk1570.com,110
bigtalk1490.com,kmaj1440.com,110
kvor.com,supertalk1570.com,110
kmaj1440.com,supertalk1570.com,110
980waav.com,bigtalk1490.com,110
kmaj1440.com,wgowam.com,110
supertalk1570.com,wgowam.com,110
bigtalk1490.com,wgowam.com,110
980waav.com,supertalk1570.com,110
kmaj1440.com,kvor.com,110
980waav.com,kvor.com,110
kvor.com,wgowam.com,110
980waav.com,kmaj1440.com,110
kkoh.com,kvor.com,107
detroitnews.com,nbcwashington.com,106
bakersfield.com,nbcwashington.com,96
nbcwashington.com,providencejournal.com,96
beatricedailysun.com,nbcwashington.com,96
mdjonline.com,nbcwashington.com,96
nbcwashington.com,trentonian.com,96
nbcwashington.com,princegeorgecitizen.com,96
lebanon-express.com,nbcwashington.com,96
nbcwashington.com,vancourier.com,96
herald-review.com,nbcwashington.com,96
nbcwashington.com,newsadvance.com,96
delta-optimist.com,nbcwashington.com,96
burnabynow.com,nbcwashington.com,96
nbcwashington.com,southstrandnews.com,96
nbcwashington.com,thompsoncitizen.net,96
nbcwashington.com,wnct.com,96
nbcwashington.com,thetandd.com,96
mytwintiers.com,nbcwashington.com,96
missoulian.com,nbcwashington.com,96
nbcwashington.com,yorktonthisweek.com,96
nbcwashington.com,timescolonist.com,96
nbcwashington.com,news12.com,94
greensboro.com,nbcwashington.com,94
980waav.com,kkoh.com,93
kkoh.com,kmaj1440.com,93
bigtalk1490.com,kkoh.com,93
kkoh.com,wgowam.com,93
kkoh.com,supertalk1570.com,93
nbcwashington.com,onenewsnow.com,92
nbcwashington.com,whyy.org,92
nbc4i.com,nbcwashington.com,92
greensboro.com,newsadvance.com,89
mdjonline.com,princegeorgecitizen.com,86
mdjonline.com,news12.com,85
detroitnews.com,princegeorgecitizen.com,84
bangordailynews.com,nbcwashington.com,84
princegeorgecitizen.com,timescolonist.com,83
mdjonline.com,thetandd.com,81
mdjonline.com,missoulian.com,81
mdjonline.com,mytwintiers.com,81
delta-optimist.com,vancourier.com,80
burnabynow.com,yorktonthisweek.com,80
burnabynow.com,vancourier.com,80
delta-optimist.com,yorktonthisweek.com,80
burnabynow.com,delta-optimist.com,80
vancourier.com,yorktonthisweek.com,80
delta-optimist.com,princegeorgecitizen.com,79
princegeorgecitizen.com,vancourier.com,79
news12.com,princegeorgecitizen.com,79
missoulian.com,thetandd.com,79
princegeorgecitizen.com,yorktonthisweek.com,79
burnabynow.com,princegeorgecitizen.com,79
mytwintiers.com,thetandd.com,78
missoulian.com,mytwintiers.com,78
onenewsnow.com,wnct.com,77
mdjonline.com,yorktonthisweek.com,76
burnabynow.com,mdjonline.com,76
mdjonline.com,vancourier.com,76
delta-optimist.com,mdjonline.com,76
burnabynow.com,news12.com,75
delta-optimist.com,news12.com,75
news12.com,yorktonthisweek.com,75
news12.com,vancourier.com,75
detroitnews.com,timescolonist.com,74
detroitnews.com,mytwintiers.com,74
detroitnews.com,mdjonline.com,74
greensboro.com,princegeorgecitizen.com,74
detroitnews.com,thetandd.com,74
detroitnews.com,missoulian.com,74
bakersfield.com,detroitnews.com,74
greensboro.com,timescolonist.com,74
news12.com,newsadvance.com,73
abc15.com,kjrh.com,73
detroitnews.com,greensboro.com,72
greensboro.com,news12.com,71
mdjonline.com,wnct.com,71
news12.com,providencejournal.com,70
thompsoncitizen.net,timescolonist.com,70
mytwintiers.com,princegeorgecitizen.com,69
bakersfield.com,thetandd.com,69
mytwintiers.com,timescolonist.com,69
mdjonline.com,timescolonist.com,69
bakersfield.com,mdjonline.com,69
