source1,source2,count
msn.com,reuters.com,5958
reuters.com,yahoo.com,5773
english.wafa.ps,wafa.ps,3794
msn.com,yahoo.com,3067
business-standard.com,reuters.com,2445
chron.com,sfgate.com,2398
channelnewsasia.com,reuters.com,2374
iheart.com,yahoo.com,1712
greenwichtime.com,thehour.com,1616
ctpost.com,greenwichtime.com,1502
ctpost.com,thehour.com,1488
newstimes.com,thehour.com,1483
greensboro.com,wacotrib.com,1379
greenwichtime.com,stamfordadvocate.com,1367
ctpost.com,newstimes.com,1364
greenwichtime.com,newstimes.com,1358
stamfordadvocate.com,thehour.com,1357
chieftain.com,wacotrib.com,1330
tucson.com,wacotrib.com,1300
ksl.com,tucson.com,1238
dailymail.co.uk,yahoo.com,1232
wfmz.com,yahoo.com,1223
chron.com,greenwichtime.com,1205
ctpost.com,stamfordadvocate.com,1195
newstimes.com,stamfordadvocate.com,1180
channelnewsasia.com,yahoo.com,1169
chron.com,washingtonpost.com,1169
chron.com,ctpost.com,1164
greensboro.com,wfmz.com,1156
chron.com,thehour.com,1152
chieftain.com,wfmz.com,1147
english.wafa.ps,palestinemonitor.org,1138
sfgate.com,washingtonpost.com,1136
chieftain.com,tucson.com,1114
business-standard.com,indiatimes.com,1112
chron.com,newstimes.com,1110
chron.com,greensboro.com,1094
chron.com,wacotrib.com,1094
ctpost.com,sfgate.com,1093
greensboro.com,tucson.com,1091
greenwichtime.com,sfgate.com,1091
greensboro.com,ksl.com,1086
registercitizen.com,thehour.com,1084
nhregister.com,registercitizen.com,1075
chron.com,nhregister.com,1067
tampabay.com,yahoo.com,1063
nzherald.co.nz,wfmz.com,1062
greenwichtime.com,nhregister.com,1055
wacotrib.com,wfmz.com,1047
chron.com,stamfordadvocate.com,1046
france24.com,yahoo.com,1043
ctpost.com,registercitizen.com,1036
ksl.com,wacotrib.com,1035
sfgate.com,thehour.com,1033
tucson.com,yahoo.com,1032
chieftain.com,greensboro.com,1031
ctpost.com,nhregister.com,1031
greenwichtime.com,registercitizen.com,1028
chieftain.com,ksl.com,1023
washingtonpost.com,wfmz.com,1023
ksl.com,yahoo.com,1021
wacotrib.com,washingtonpost.com,1020
ksl.com,wfmz.com,1020
newstimes.com,registercitizen.com,1016
wfmz.com,wsoctv.com,1012
nhregister.com,thehour.com,1007
tucson.com,wfmz.com,999
middletownpress.com,nhregister.com,997
greensboro.com,washingtonpost.com,997
washingtonpost.com,yahoo.com,993
middletownpress.com,registercitizen.com,985
chron.com,yahoo.com,983
greenwichtime.com,middletownpress.com,983
greensboro.com,yahoo.com,972
chieftain.com,nzherald.co.nz,966
beaumontenterprise.com,chron.com,965
ctpost.com,middletownpress.com,961
chron.com,registercitizen.com,961
newstimes.com,sfgate.com,960
tampabay.com,tucson.com,960
chron.com,wfmz.com,959
chron.com,nzherald.co.nz,947
nzherald.co.nz,wacotrib.com,943
ksl.com,washingtonpost.com,940
nzherald.co.nz,washingtonpost.com,936
registercitizen.com,stamfordadvocate.com,929
newstimes.com,nhregister.com,929
chron.com,seattlepi.com,926
tucson.com,washingtonpost.com,923
cbslocal.com,iheart.com,918
sfgate.com,yahoo.com,918
wacotrib.com,yahoo.com,913
greensboro.com,nzherald.co.nz,909
chron.com,mysanantonio.com,909
fredericksburg.com,tucson.com,906
msn.com,wfmz.com,901
chieftain.com,fredericksburg.com,899
chron.com,middletownpress.com,897
