source1,source2,count
plovdiv24.bg,varna24.bg,34712
burgas24.bg,plovdiv24.bg,30292
burgas24.bg,varna24.bg,26900
news.varna24.bg,plovdiv24.bg,24542
news.varna24.bg,varna24.bg,21798
burgas24.bg,news.varna24.bg,19018
news.plovdiv24.bg,plovdiv24.bg,16472
news.plovdiv24.bg,varna24.bg,14618
news.burgas24.bg,plovdiv24.bg,14262
burgas24.bg,news.plovdiv24.bg,12758
news.burgas24.bg,varna24.bg,12666
burgas24.bg,news.burgas24.bg,11060
news.plovdiv24.bg,news.varna24.bg,10335
news.burgas24.bg,news.varna24.bg,8955
news.blagoevgrad24.bg,plovdiv24.bg,7190
blagoevgrad24.bg,plovdiv24.bg,6748
news.blagoevgrad24.bg,varna24.bg,6386
news.ruse24.bg,plovdiv24.bg,6306
news.burgas24.bg,news.plovdiv24.bg,6007
blagoevgrad24.bg,varna24.bg,5994
msn.com,reuters.com,5958
plovdiv24.bg,ruse24.bg,5864
reuters.com,yahoo.com,5773
news.ruse24.bg,varna24.bg,5602
burgas24.bg,news.blagoevgrad24.bg,5576
plovdiv24.bg,sport.plovdiv24.bg,5304
blagoevgrad24.bg,burgas24.bg,5234
ruse24.bg,varna24.bg,5210
burgas24.bg,news.ruse24.bg,4892
sport.plovdiv24.bg,varna24.bg,4704
burgas24.bg,ruse24.bg,4550
news.blagoevgrad24.bg,news.varna24.bg,4518
blagoevgrad24.bg,news.varna24.bg,4241
burgas24.bg,sport.plovdiv24.bg,4104
news.ruse24.bg,news.varna24.bg,3964
english.wafa.ps,wafa.ps,3794
news.varna24.bg,ruse24.bg,3687
news.varna24.bg,sport.plovdiv24.bg,3324
msn.com,yahoo.com,3067
news.blagoevgrad24.bg,news.plovdiv24.bg,3031
blagoevgrad24.bg,news.plovdiv24.bg,2845
news.plovdiv24.bg,news.ruse24.bg,2659
news.blagoevgrad24.bg,news.burgas24.bg,2626
reuters.com,trust.org,2624
news.plovdiv24.bg,ruse24.bg,2473
blagoevgrad24.bg,news.burgas24.bg,2465
business-standard.com,reuters.com,2445
chron.com,sfgate.com,2398
channelnewsasia.com,reuters.com,2374
news.burgas24.bg,news.ruse24.bg,2304
news.plovdiv24.bg,sport.plovdiv24.bg,2232
news.burgas24.bg,ruse24.bg,2143
news.burgas24.bg,sport.plovdiv24.bg,1932
euronews.com,reuters.com,1773
iheart.com,yahoo.com,1712
greenwichtime.com,thehour.com,1616
ctpost.com,greenwichtime.com,1502
ctpost.com,thehour.com,1488
newstimes.com,thehour.com,1483
kitco.com,reuters.com,1408
greensboro.com,wacotrib.com,1379
greenwichtime.com,stamfordadvocate.com,1367
ctpost.com,newstimes.com,1364
reuters.com,thestar.com.my,1359
greenwichtime.com,newstimes.com,1358
stamfordadvocate.com,thehour.com,1357
alwatanvoice.com,wafa.ps,1333
chieftain.com,wacotrib.com,1330
tucson.com,wacotrib.com,1300
dailycaller.com,iheart.com,1275
bnr.nl,fd.nl,1275
oann.com,reuters.com,1275
blagoevgrad24.bg,news.blagoevgrad24.bg,1249
ksl.com,tucson.com,1238
dailymail.co.uk,yahoo.com,1232
wfmz.com,yahoo.com,1223
reuters.com,swissinfo.ch,1207
chron.com,greenwichtime.com,1205
ctpost.com,stamfordadvocate.com,1195
newstimes.com,stamfordadvocate.com,1180
chron.com,washingtonpost.com,1169
channelnewsasia.com,yahoo.com,1169
news.blagoevgrad24.bg,news.ruse24.bg,1168
chron.com,ctpost.com,1164
greensboro.com,wfmz.com,1156
dailypolitical.com,wkrb13.com,1155
chron.com,thehour.com,1152
chieftain.com,wfmz.com,1147
english.wafa.ps,palestinemonitor.org,1138
sfgate.com,washingtonpost.com,1136
couriermail.com.au,goldcoastbulletin.com.au,1120
chieftain.com,tucson.com,1114
business-standard.com,indiatimes.com,1112
chron.com,newstimes.com,1110
blagoevgrad24.bg,news.ruse24.bg,1097
chron.com,greensboro.com,1094
chron.com,wacotrib.com,1094
ctpost.com,sfgate.com,1093
greensboro.com,tucson.com,1091
greenwichtime.com,sfgate.com,1091
news.blagoevgrad24.bg,ruse24.bg,1087
greensboro.com,ksl.com,1086
registercitizen.com,thehour.com,1084
nhregister.com,registercitizen.com,1075
chron.com,nhregister.com,1067
cairnspost.com.au,couriermail.com.au,1065
tampabay.com,yahoo.com,1063
nzherald.co.nz,wfmz.com,1062
cairoscene.com,plovdiv24.bg,1056
greenwichtime.com,nhregister.com,1055
wacotrib.com,wfmz.com,1047
chron.com,stamfordadvocate.com,1046
france24.com,yahoo.com,1043
greensboro.com,newsadvance.com,1038
ctpost.com,registercitizen.com,1036
ksl.com,wacotrib.com,1035
sfgate.com,thehour.com,1033
tucson.com,yahoo.com,1032
ctpost.com,nhregister.com,1031
chieftain.com,greensboro.com,1031
greenwichtime.com,registercitizen.com,1028
wfmz.com,wsbtv.com,1025
washingtonpost.com,wfmz.com,1023
chieftain.com,ksl.com,1023
blagoevgrad24.bg,ruse24.bg,1021
ksl.com,yahoo.com,1021
wacotrib.com,washingtonpost.com,1020
ksl.com,wfmz.com,1020
newstimes.com,registercitizen.com,1016
wfmz.com,wsoctv.com,1012
nhregister.com,thehour.com,1007
couriermail.com.au,heraldsun.com.au,1004
tucson.com,wfmz.com,999
middletownpress.com,nhregister.com,997
greensboro.com,washingtonpost.com,997
washingtonpost.com,yahoo.com,993
middletownpress.com,registercitizen.com,985
fox23.com,wfmz.com,984
greenwichtime.com,middletownpress.com,983
chron.com,yahoo.com,983
accesswdun.com,greensboro.com,982
fox13memphis.com,wfmz.com,981
greensboro.com,yahoo.com,972
greensboro.com,onenewsnow.com,972
news.blagoevgrad24.bg,sport.plovdiv24.bg,972
chieftain.com,nzherald.co.nz,966
beaumontenterprise.com,chron.com,965
ctpost.com,middletownpress.com,961
chron.com,registercitizen.com,961
tampabay.com,tucson.com,960
newstimes.com,sfgate.com,960
chron.com,wfmz.com,959
fox30jax.com,wfmz.com,957
news.ruse24.bg,ruse24.bg,955
chron.com,nzherald.co.nz,947
nzherald.co.nz,wacotrib.com,943
ksl.com,washingtonpost.com,940
firstpost.com,reuters.com,938
cairoscene.com,varna24.bg,936
nzherald.co.nz,washingtonpost.com,936
kiro7.com,wfmz.com,930
registercitizen.com,stamfordadvocate.com,929
newstimes.com,nhregister.com,929
wfmz.com,wpxi.com,929
greensboro.com,princegeorgecitizen.com,928
accesswdun.com,ksl.com,927
chron.com,seattlepi.com,926
tucson.com,washingtonpost.com,923
sfgate.com,yahoo.com,918
cbslocal.com,iheart.com,918
accesswdun.com,wfmz.com,916
accesswdun.com,tucson.com,914
wacotrib.com,yahoo.com,913
blagoevgrad24.bg,sport.plovdiv24.bg,912
adelaidenow.com.au,couriermail.com.au,910
chron.com,mysanantonio.com,909
greensboro.com,nzherald.co.nz,909
fredericksburg.com,tucson.com,906
bakersfield.com,greensboro.com,902
msn.com,wfmz.com,901
newsadvance.com,wacotrib.com,899
chieftain.com,fredericksburg.com,899
chieftain.com,wvnews.com,899
chron.com,middletownpress.com,897
nhregister.com,stamfordadvocate.com,896
reuters.com,wnmtradio.com,895
iheart.com,wfmz.com,894
middletownpress.com,thehour.com,893
wfmz.com,wftv.com,892
chron.com,startribune.com,892
actionnewsjax.com,wfmz.com,891
reuters.com,wsau.com,886
foxbaltimore.com,iheart.com,884
accesswdun.com,chieftain.com,881
chron.com,tucson.com,879
sfgate.com,wacotrib.com,878
chieftain.com,tampabay.com,872
newsadvance.com,tucson.com,872
chron.com,wsoctv.com,870
nzherald.co.nz,yahoo.com,867
registercitizen.com,sfgate.com,867
sfgate.com,stamfordadvocate.com,865
chieftain.com,yahoo.com,864
greensboro.com,vancouversun.com,861
nhregister.com,sfgate.com,860
accesswdun.com,wacotrib.com,858
sfgate.com,startribune.com,858
tampabay.com,wfmz.com,856
iheart.com,zocalo.com.mx,852
