GLOBALEVENTID,MentionSourceName,Confidence,MentionDocTone
735662440,chron.com,20,-4.78927203065134
735662440,dailymail.co.uk,20,-4.68164794007491
735662440,sfgate.com,20,-4.78927203065134
735662440,yahoo.com,20,-4.68164794007491
735662635,chron.com,40,-3.55160932297448
735662635,chron.com,40,-4.78927203065134
735662635,dailymail.co.uk,40,-4.68164794007491
735662635,nzherald.co.nz,40,-3.86643233743409
735662635,sfgate.com,40,-4.78927203065134
735662635,yahoo.com,40,-3.59085963003265
735662635,yahoo.com,40,-4.68164794007491
735662636,chron.com,20,-4.78927203065134
735662636,dailymail.co.uk,20,-4.68164794007491
735662636,nzherald.co.nz,20,-3.86643233743409
735662636,sfgate.com,20,-4.78927203065134
735662636,yahoo.com,20,-4.68164794007491
735662638,chron.com,20,-3.55160932297448
735662638,chron.com,20,-4.78927203065134
735662638,dailymail.co.uk,20,-4.68164794007491
735662638,nzherald.co.nz,20,-3.86643233743409
735662638,sfgate.com,20,-4.78927203065134
735662638,yahoo.com,20,-3.59085963003265
735662638,yahoo.com,20,-4.68164794007491
735663000,business-standard.com,100,-12.4352331606218
735663000,business-standard.com,100,-5.0761421319797
735663000,business-standard.com,50,-10.4761904761905
735663000,business-standard.com,50,-6.2992125984252
735663000,fax.al,100,-10.3825136612022
735663000,fax.al,100,-9.87224157955866
735663000,msn.com,100,-1.10375275938189
735663000,msn.com,100,-1.84331797235023
735663000,sfgate.com,100,-14.4508670520231
735663000,sfgate.com,50,-8.57142857142857
735663024,chron.com,40,-4.78927203065134
735663024,dailymail.co.uk,40,-4.68164794007491
735663024,sfgate.com,40,-4.78927203065134
735663024,yahoo.com,100,-4.68164794007491
735663024,yahoo.com,50,-3.59085963003265
735663217,business-standard.com,50,-3.54477611940298
735663217,business-standard.com,50,-4.04761904761905
735663217,chron.com,50,-3.45454545454546
735663217,chron.com,50,-3.74531835205992
735663217,dailymail.co.uk,50,-3.85321100917431
735663217,nzherald.co.nz,50,-2.91595197255575
735663217,sfgate.com,10,-4.34782608695652
735663217,sfgate.com,50,-3.74531835205992
735663217,yahoo.com,10,-4.32276657060519
735663228,chron.com,20,-4.78927203065134
735663228,dailymail.co.uk,20,-4.68164794007491
735663228,sfgate.com,20,-4.78927203065134
735663228,yahoo.com,20,-4.68164794007491
735663249,business-standard.com,50,-3.54477611940298
735663249,business-standard.com,50,-4.04761904761905
735663249,chron.com,50,-3.45454545454546
735663249,chron.com,50,-3.74531835205992
735663249,dailymail.co.uk,50,-3.85321100917431
735663249,nzherald.co.nz,50,-2.91595197255575
735663249,sfgate.com,50,-3.74531835205992
735663400,albawabhnews.com,100,0
735663400,albawabhnews.com,100,-4.16666666666667
735663400,business-standard.com,100,1.49253731343283
735663400,business-standard.com,100,1.8970189701897
735663400,business-standard.com,100,-4.58715596330275
735663400,business-standard.com,50,-2.19780219780219
735663400,business-standard.com,50,-2.25806451612903
735663400,business-standard.com,50,2.48138957816377
735663400,business-standard.com,50,2.48756218905472
735663400,business-standard.com,50,-3.35195530726257
735663400,business-standard.com,50,4.13533834586466
735663400,business-standard.com,50,-5.07859733978234
735663400,chron.com,100,-12.5
735663400,indiatimes.com,100,0.49382716049383
735663400,indiatimes.com,50,-2.17391304347826
735663400,indiatimes.com,50,4.6195652173913
735663400,indiatimes.com,50,4.6448087431694
735663400,indiatimes.com,50,-5.32043530834341
735663400,nzherald.co.nz,100,1.57766990291262
735663400,nzherald.co.nz,100,1.81159420289855
735663400,nzherald.co.nz,100,2.06060606060606
735663400,nzherald.co.nz,100,2.10918114143921
735663400,nzherald.co.nz,100,2.13032581453634
735663400,sfgate.com,100,-12.5
735663400,tribunnews.com,100,3.125
735663430,business-standard.com,60,-3.54477611940298
735663430,business-standard.com,60,-4.04761904761905
735663430,chron.com,60,-3.45454545454546
735663430,chron.com,60,-3.74531835205992
735663430,dailymail.co.uk,60,-3.85321100917431
735663430,nzherald.co.nz,60,-2.91595197255575
735663430,sfgate.com,60,-3.74531835205992
735664331,albawabhnews.com,70,-2.06896551724138
735664331,alufuqnews.com,50,0.92307692307692
735664331,business-standard.com,20,-6.83453237410072
735664331,business-standard.com,30,-3.68098159509203
735664331,business-standard.com,40,-2.83505154639176
735664331,business-standard.com,40,-3.88198757763975
735664331,chron.com,20,0.64102564102565
735664331,chron.com,20,0.68965517241379
735664331,chron.com,20,-0.70422535211268
735664331,chron.com,40,1.78117048346056
735664331,dailymail.co.uk,20,-0.63291139240507
735664331,dailymail.co.uk,20,-1.8840579710145
735664331,dailymail.co.uk,20,-2.81030444964871
735664331,dailymail.co.uk,40,2.10526315789474
735664331,fax.al,40,1.39186295503212
735664331,fax.al,40,1.53002309468822
735664331,fax.al,60,1.66229221347332
