mentions_count,tone_avg,tone_std,source_index,person_index
122,-0.417,2.400,125,5
89,-2.855,1.235,414,0
70,-2.997,2.389,543,0
64,-2.004,2.512,185,0
58,-2.372,2.285,135,0
49,-4.122,1.905,488,9
43,-2.094,2.614,95,0
37,-2.860,0.352,414,20
34,-2.276,2.520,118,0
34,2.239,2.802,582,24
31,-2.020,3.911,488,24
30,-2.634,2.495,127,0
29,-2.097,2.624,148,0
27,-2.384,0.903,414,5
24,-1.949,1.760,135,1
23,-3.636,1.814,414,24
21,-2.806,0.190,414,19
21,-2.828,1.682,94,0
21,-4.051,2.495,521,0
21,-2.739,2.842,543,20
20,-3.637,3.003,135,2
20,-3.325,1.617,101,0
20,-3.107,3.351,138,0
20,-2.390,1.331,414,14
18,-6.623,0.367,339,9
18,-1.048,3.652,152,0
18,-2.256,2.712,138,5
18,-2.813,0.206,414,22
18,-2.813,0.206,414,15
18,-2.813,0.206,414,25
17,-4.039,2.400,464,0
17,-0.419,0.813,126,0
17,-0.561,1.934,185,5
16,-3.093,3.348,129,0
16,0.672,0.014,155,4
16,-6.329,2.560,135,4
16,-1.807,1.507,135,10
15,-2.222,1.249,118,1
14,-3.949,1.938,579,9
14,-2.797,2.000,83,0
14,-2.922,1.548,460,0
14,-1.974,2.876,127,5
13,-2.687,2.363,118,2
13,-2.477,3.733,141,0
13,-1.684,0.000,190,0
13,-1.515,2.460,135,14
12,-4.070,2.911,543,1
12,-2.126,1.732,135,16
12,-2.225,1.470,82,0
12,-2.702,1.868,155,0
12,-0.715,1.328,538,0
12,-1.846,2.136,166,0
12,-1.299,2.043,168,0
12,1.739,3.868,579,24
12,0.291,0.945,98,5
12,0.597,1.002,103,5
12,-0.863,3.023,118,3
11,-5.103,2.553,185,2
11,-2.223,2.653,185,1
11,-3.215,3.823,157,0
11,-4.072,2.126,477,0
11,-6.042,1.471,185,3
10,-4.426,1.610,127,1
10,-1.411,2.233,591,0
10,-3.626,1.317,288,0
10,-0.163,2.875,423,0
10,-3.800,1.479,573,0
10,3.100,2.935,583,24
10,3.389,3.190,586,24
10,-1.486,3.946,477,24
10,-2.046,4.731,591,5
10,-2.350,1.622,135,7
10,-3.008,2.002,135,11
9,-2.776,3.091,598,0
9,-2.604,1.524,99,0
9,-2.647,2.658,88,0
9,-1.857,2.514,562,0
9,-3.076,2.107,127,14
9,-2.898,2.783,543,25
8,-4.125,2.572,83,2
8,-5.378,2.351,94,2
8,-7.025,0.443,406,9
8,-2.953,1.494,460,9
8,-7.123,0.526,477,9
8,-2.517,2.620,414,1
8,-3.091,2.991,95,1
8,-3.249,3.191,339,0
8,-4.477,3.637,85,0
8,-4.174,1.812,454,0
8,-0.456,1.786,87,0
8,-3.962,1.023,201,0
8,-5.095,2.320,182,0
8,1.690,1.049,436,0
8,-4.655,1.576,102,0
8,0.610,1.455,460,24
8,-0.441,1.271,414,4
8,-1.441,0.000,155,28
8,-1.441,0.000,152,28
8,-3.333,2.271,521,28
8,-4.762,0.023,591,3
7,-3.247,2.111,127,2
7,-6.896,1.338,464,9
7,-1.020,0.000,583,9
7,-3.129,1.734,148,1
7,-4.773,2.723,627,0
7,-4.251,2.091,159,0
7,-1.580,1.986,617,0
7,-3.804,3.102,153,0
7,-4.693,3.316,118,20
7,-7.132,1.669,185,6
7,-7.666,2.597,135,6
7,-3.635,2.829,157,28
7,-5.861,0.955,436,3
6,-6.769,0.000,152,8
6,-4.690,3.742,101,2
6,-4.574,1.426,499,9
6,-1.629,2.491,591,1
6,-4.247,2.039,94,1
6,-3.601,2.342,101,1
6,-3.756,1.187,573,1
6,-2.276,2.494,135,18
6,-3.181,3.301,118,16
6,-2.746,0.763,127,16
6,-2.069,1.122,140,0
6,-3.282,2.569,499,0
6,-4.903,3.464,488,0
6,-4.017,1.730,579,0
6,-2.548,1.380,544,0
6,0.698,3.130,165,0
6,-3.895,0.731,422,0
6,-1.465,0.432,118,14
6,-4.621,1.472,499,24
6,-7.279,0.000,157,20
6,-5.469,0.386,182,20
6,0.210,0.517,141,4
6,-0.562,0.000,598,5
6,-0.599,2.716,151,5
6,-0.863,3.170,118,12
6,-0.863,3.170,118,13
6,-5.002,1.840,94,7
6,-3.181,3.301,118,10
6,-1.428,1.897,185,10
6,-2.588,0.732,101,10
5,-4.811,0.249,95,8
5,-6.379,0.000,288,8
5,-5.109,0.000,477,8
5,-3.741,2.415,598,2
5,-3.009,3.068,95,2
5,-0.912,0.000,2,2
5,-5.952,0.168,118,19
5,-1.332,0.000,314,19
5,-6.724,0.757,598,9
5,-6.387,1.020,459,9
5,-6.295,0.000,555,9
5,-3.560,1.719,460,1
5,-2.860,4.399,129,1
5,-1.974,0.423,118,18
5,-3.637,1.608,94,16
5,-1.165,1.994,185,16
5,-2.722,0.701,101,16
5,-3.825,2.776,156,0
5,-2.666,3.440,230,0
5,-0.870,3.018,534,0
5,0.036,3.301,154,0
5,-2.403,2.190,459,0
5,-1.968,2.040,619,0
5,-3.825,2.776,151,0
5,-6.100,3.050,535,0
5,0.978,0.000,464,24
5,-4.706,3.360,422,20
5,0.042,0.641,88,5
5,-4.487,4.500,135,5
5,-1.483,0.508,118,29
5,-5.202,3.451,138,12
5,-6.650,1.851,94,6
5,-2.898,1.080,135,28
5,-4.023,1.080,185,7
5,-0.222,0.000,540,15
5,-3.741,2.415,598,11
5,-3.658,1.593,94,10
5,-1.900,1.419,95,10
5,-3.539,0.000,166,10
5,-2.345,1.052,127,10
5,-3.621,0.794,135,25
5,-4.362,0.000,126,3
4,-4.559,0.000,422,8
4,-4.007,0.272,135,8
4,-5.431,1.176,406,2
4,-2.594,2.504,591,2
4,-4.871,3.071,141,2
4,-1.232,2.165,129,2
4,-2.066,2.651,126,2
4,-6.630,0.726,182,2
4,-5.954,0.000,118,9
4,-5.720,0.000,414,9
4,-3.956,1.086,627,9
4,-7.064,0.000,505,9
4,-2.428,0.000,485,9
4,-3.920,3.395,135,9
4,-2.854,2.528,339,1
4,-2.285,2.443,82,1
4,-3.338,1.136,83,1
4,-2.993,2.280,99,1
4,-5.618,0.000,288,1
4,-5.358,0.579,159,1
4,-3.632,2.367,132,16
4,-1.864,1.621,95,16
4,-2.167,1.537,126,16
4,2.660,3.834,164,0
4,-3.864,2.419,215,0
4,-3.603,2.323,475,0
4,-2.086,2.094,89,0
4,-2.449,3.797,505,0
4,-3.398,2.270,167,0
4,-4.217,3.042,160,0
