mentions_count,name
18184,Donald Trump
4701,Barack Obama
3502,Los Angeles
2953,Ram Allah
2677,Angela Merkel
2523,Andrew Gillum
2321,Brian Kemp
2313,Theresa May
2121,Stacey Abrams
2068,Las Vegas
2038,Rick Scott
1920,Ariana Grande
1911,Brent Taylor
1894,Pete Davidson
1806,Abu Dhabi
1770,Mahmoud Abbas
1676,Hillary Clinton
1659,Scott Morrison
1564,Asia Bibi
1531,Van Vessem
1443,Joe Donnelly
1428,Mike Pence
1396,Vladimir Putin
1360,Sharm Sheikh
1333,Scott Paul Beierle
1267,Bill Nelson
1205,Nancy Van Vessem
1203,Maura Binkley
1186,Mike Braun
1175,Kyrsten Sinema
